STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TEMP,MAX,MIN,CELSIUS
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-01-03,82.40,88.52,76.64,28.00
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-01-05,81.32,88.52,77.00,27.40
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-01-07,79.88,84.56,76.10,26.60
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-01-08,77.90,79.16,76.28,25.50
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-01-09,78.98,83.30,75.92,26.10
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-01-13,78.44,86.00,74.48,25.80
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-01-14,78.08,80.60,75.56,25.60
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-01-15,80.60,86.00,76.46,27.00
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-01-17,77.54,80.78,74.66,25.30
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-01-18,78.62,84.20,74.48,25.90
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-01-20,80.78,86.36,74.66,27.10
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-01-21,80.42,86.36,76.10,26.90
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-01-24,81.14,86.36,75.92,27.30
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-01-27,80.42,86.90,75.02,26.90
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-01-29,80.96,86.90,75.20,27.20
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-01-30,81.86,88.88,76.28,27.70
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-02-02,81.68,89.60,76.28,27.60
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-02-04,79.88,85.10,75.02,26.60
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-02-05,81.14,86.90,75.20,27.30
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-02-11,79.70,86.36,74.48,26.50
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-02-13,78.98,84.92,73.40,26.10
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-02-14,79.16,85.28,73.76,26.20
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-02-17,80.06,85.64,73.22,26.70
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-02-18,80.78,87.08,76.64,27.10
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-02-22,80.06,85.82,75.92,26.70
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-02-25,80.96,88.16,73.40,27.20
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-03-01,81.50,87.80,75.20,27.50
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-03-02,81.68,88.70,76.82,27.60
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-03-04,81.32,88.70,75.56,27.40
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-03-06,80.06,84.20,77.00,26.70
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-03-09,78.62,82.40,73.76,25.90
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-03-10,81.50,87.80,74.48,27.50
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-03-11,79.34,84.20,76.64,26.30
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-03-13,80.78,86.36,75.92,27.10
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-03-17,81.32,87.80,74.48,27.40
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-03-19,81.68,87.80,73.94,27.60
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-03-23,82.94,90.32,75.20,28.30
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-03-26,83.48,90.68,77.18,28.60
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-03-27,82.76,88.70,78.44,28.20
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-03-29,82.22,88.16,75.92,27.90
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-03-31,78.08,81.50,75.92,25.60
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-04-04,76.46,77.54,74.84,24.70
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-04-06,80.24,84.56,76.28,26.80
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-04-08,82.58,88.70,77.00,28.10
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-04-11,83.12,89.96,74.84,28.40
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-04-13,84.38,91.04,78.08,29.10
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-04-14,84.02,90.50,79.16,28.90
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-04-18,82.58,90.14,75.74,28.10
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-04-19,83.48,89.60,75.56,28.60
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-04-20,83.84,89.96,77.00,28.80
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-04-23,84.02,91.04,78.44,28.90
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-04-24,84.38,90.32,78.08,29.10
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-04-25,83.84,89.60,77.72,28.80
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-04-28,83.12,89.60,75.92,28.40
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-04-29,84.20,91.58,76.46,29.00
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-04-30,84.38,91.94,78.44,29.10
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-05-01,85.10,92.30,78.08,29.50
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-05-02,86.00,94.10,79.16,30.00
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-05-04,84.92,90.32,74.30,29.40
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-05-05,85.46,90.68,79.88,29.70
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-05-06,85.46,89.78,80.60,29.70
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-05-08,84.20,89.42,77.00,29.00
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-05-10,83.48,89.60,77.00,28.60
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-05-11,82.76,87.80,78.80,28.20
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-05-13,82.76,88.34,78.26,28.20
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-05-14,84.74,89.96,79.52,29.30
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-05-18,85.10,91.94,77.72,29.50
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-05-19,86.00,92.66,79.70,30.00
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-05-21,85.46,93.20,76.82,29.70
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-05-23,83.66,92.12,78.80,28.70
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-05-25,83.66,91.40,78.80,28.70
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-05-26,84.20,92.30,79.16,29.00
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-05-27,85.46,91.58,79.52,29.70
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-06-02,86.00,93.56,78.80,30.00
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-06-09,80.78,85.28,75.02,27.10
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-06-10,83.48,90.50,78.08,28.60
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-06-11,84.92,92.30,78.44,29.40
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-06-12,83.12,90.50,78.08,28.40
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-06-13,84.74,91.76,78.44,29.30
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-06-18,84.20,90.32,75.38,29.00
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-06-19,84.56,90.50,77.00,29.20
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-06-20,83.48,91.04,77.72,28.60
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-06-22,83.48,90.32,75.02,28.60
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-06-29,83.84,92.30,75.92,28.80
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-07-02,80.42,87.80,76.28,26.90
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-07-03,80.78,86.36,75.92,27.10
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-07-04,81.14,88.88,75.92,27.30
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-07-05,83.30,89.78,77.00,28.50
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-07-07,81.68,86.18,75.38,27.60
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-07-12,81.50,88.16,76.82,27.50
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-07-14,80.96,87.08,76.82,27.20
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-07-15,79.34,85.28,76.46,26.30
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-07-16,81.86,88.70,75.74,27.70
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-07-19,81.32,88.52,73.76,27.40
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-07-20,82.40,90.14,75.02,28.00
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-07-26,83.84,89.78,78.08,28.80
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-07-28,85.64,93.20,79.70,29.80
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-07-29,85.46,92.84,77.90,29.70
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-07-30,85.28,91.76,79.70,29.60
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-07-31,86.18,93.02,80.24,30.10
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-08-01,85.46,92.12,80.24,29.70
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-08-05,84.92,92.12,77.00,29.40
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-08-08,83.84,91.40,75.92,28.80
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-08-09,84.02,92.84,76.10,28.90
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-08-10,84.02,92.84,76.64,28.90
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-08-12,83.66,92.12,77.90,28.70
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-08-15,83.48,88.34,76.64,28.60
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-08-16,81.32,86.18,76.10,27.40
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-08-18,82.58,91.76,76.64,28.10
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-08-19,82.40,86.54,75.20,28.00
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-08-20,82.04,89.78,77.00,27.80
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-08-21,81.68,89.06,77.00,27.60
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-08-22,84.02,91.22,77.72,28.90
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-08-24,80.06,87.08,75.20,26.70
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-08-25,81.14,88.34,75.20,27.30
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-08-26,82.76,91.40,76.28,28.20
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-08-27,83.12,89.78,76.64,28.40
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-08-30,84.56,91.40,77.36,29.20
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-09-01,84.74,91.04,78.80,29.30
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-09-03,84.38,92.66,78.80,29.10
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-09-04,83.66,90.50,78.80,28.70
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-09-06,83.84,91.58,75.02,28.80
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-09-07,84.92,91.40,75.38,29.40
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-09-12,84.74,90.32,78.80,29.30
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-09-15,81.68,89.60,77.00,27.60
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-09-17,82.58,89.78,73.58,28.10
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-09-18,82.22,89.06,77.72,27.90
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-09-20,80.96,87.98,75.56,27.20
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-09-21,80.42,89.60,75.92,26.90
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-09-24,81.68,88.16,76.10,27.60
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-09-25,77.54,83.48,74.48,25.30
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-09-28,81.86,88.70,76.28,27.70
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-09-30,81.50,87.98,75.56,27.50
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-10-04,82.58,88.16,77.00,28.10
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-10-05,83.48,90.32,76.64,28.60
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-10-07,82.58,90.86,76.28,28.10
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-10-09,82.58,90.14,77.72,28.10
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-10-10,83.30,89.96,76.28,28.50
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-10-11,85.64,92.84,78.08,29.80
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-10-13,82.94,87.80,80.24,28.30
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-10-14,82.22,89.60,78.44,27.90
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-10-17,81.50,89.60,75.20,27.50
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-10-19,79.88,82.76,76.28,26.60
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-10-20,81.86,85.10,76.82,27.70
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-10-23,82.94,89.60,75.92,28.30
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-10-26,82.58,88.16,74.48,28.10
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-10-27,82.04,89.06,76.64,27.80
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-10-28,81.14,89.06,76.28,27.30
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-10-29,82.04,88.52,75.56,27.80
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-10-30,82.22,88.16,75.92,27.90
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-11-01,81.14,88.16,76.46,27.30
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-11-04,83.84,88.88,77.18,28.80
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-11-05,84.74,89.06,80.24,29.30
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-11-07,80.42,86.36,78.44,26.90
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-11-09,82.22,88.70,77.72,27.90
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-11-18,82.04,88.88,76.64,27.80
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-11-19,83.66,88.70,77.90,28.70
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-11-21,82.04,85.46,80.06,27.80
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-11-23,83.84,89.06,77.90,28.80
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-11-25,82.22,88.52,78.08,27.90
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-11-28,84.02,90.32,76.10,28.90
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-11-30,83.12,89.06,77.00,28.40
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-12-01,83.48,89.60,77.18,28.60
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-12-04,83.84,90.68,76.64,28.80
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-12-06,82.04,88.34,76.64,27.80
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-12-07,82.58,90.32,77.00,28.10
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-12-09,83.12,89.78,75.92,28.40
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-12-12,80.78,88.52,75.92,27.10
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-12-16,75.74,78.80,69.08,24.30
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-12-17,80.78,87.08,71.06,27.10
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-12-18,81.86,88.70,75.92,27.70
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-12-19,82.76,87.80,76.10,28.20
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-12-20,83.12,88.34,78.08,28.40
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-12-22,79.52,81.68,76.46,26.40
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-12-23,82.58,88.34,77.72,28.10
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-12-25,82.22,87.98,77.00,27.90
RPM00098646,"MACTAN CEBU INTERNATIONAL, RP",10.31,123.98,9.40,2017-12-27,82.40,88.34,77.36,28.00
